x,y,Yield,D1,D2,D3,D4,D5
10.8171174697127,36.25,5.66861062857143,0,0,0,0,0
10.8171174697127,38.75,5.43811594285714,0,0,0,0,0
10.8171174697127,41.25,5.21678262857143,0,0,0,0,0
10.8171174697127,43.75,5.22514285714286,0,0,0,0,0
10.8171174697127,46.25,5.64366297142857,0,0,0,0,0
10.8171174697127,48.75,6.01255228571429,0,0,0,0,0
10.8171174697127,51.25,6.23620537142857,0,0,0,0,1
10.8171174697127,53.75,6.56245462857143,0,0,0,0,1
10.8171174697127,56.25,6.56355451428571,0,0,0,0,1
10.8171174697127,58.75,6.82952828571429,0,0,0,0,1
10.8171174697127,61.25,6.28627108571429,0,0,0,0,1
10.8171174697127,63.75,7.03536228571429,0,0,0,0,1
10.8171174697127,66.25,6.63416131428572,0,0,0,0,1
10.8171174697127,68.75,6.33028571428571,0,0,0,0,1
